item_type,sub_type,title,main_image,description,tags,media,date,link,status
header,basic,My first site,http://placeimg.com/1280/200/tech,My first site generated with static site gen,"people, nature, tech",https://i.pinimg.com/236x/19/44/ac/1944acddefba76d1ea639d46eac192d1--gag-pumpkins.jpg,03/04/2018,,on
header,GA_id,UA-56474466-7
post,image,nature image 1,http://placeimg.com/640/480/nature,,"pic, nature, 640",http://placeimg.com/640/480/nature,03/05/2018,,on
post,image,nature image 2,http://placeimg.com/640/640/nature,,"pic, nature, 640",http://placeimg.com/640/640/nature,03/06/2018,http://placeimg.com/400/300/tech,on
post,image,nature image 3,http://placeimg.com/300/480/nature,,"pic, nature, 300",http://placeimg.com/300/480/nature,03/07/2018,,on
post,image,tech pic 1,http://placeimg.com/400/300/tech,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","pic, tech, 400",http://placeimg.com/400/300/tech,03/08/2018,,on
post,image,nature image 4,http://placeimg.com/640/480/nature,,"pic, nature, 640",http://placeimg.com/640/480/nature,03/09/2018,,on
post,image,tech pic 2,http://placeimg.com/800/600/tech,,"pic, tech, 800",http://placeimg.com/800/600/tech,03/10/2018,,on
post,image,human being image 1,http://placeimg.com/450/900/people,,"pic, people, 450",http://placeimg.com/450/900/people,03/11/2018,,on
post,image,nature image 5,http://placeimg.com/640/480/nature,,"pic, nature, 640",http://placeimg.com/640/480/nature,03/12/2018,http://placeimg.com/300/480/nature,on
post,image,human being image 12,http://placeimg.com/450/900/people,,"pic, people, 450",http://placeimg.com/450/900/people,03/13/2018,,on
post,image,tech pic 3,http://placeimg.com/800/600/tech,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","pic, tech, 800",http://placeimg.com/800/600/tech,03/14/2018,,on
post,image,tech pic 4,http://placeimg.com/400/300/tech,,"pic, tech, 400",http://placeimg.com/400/300/tech,03/15/2018,http://placeimg.com/450/900/people,on
post,image,human being image 3,http://placeimg.com/450/900/people,,"pic, people, 450",http://placeimg.com/450/900/people,03/16/2018,,on
post,image,human being image 4,http://placeimg.com/450/900/people,,"pic, people, 450",http://placeimg.com/450/900/people,03/17/2018,,on
post,gallery,tech gallery 1,http://placeimg.com/400/300/tech,,"pic, tech, 400","http://placeimg.com/400/300/tech,http://placeimg.com/400/300/tech,http://placeimg.com/400/300/tech,http://placeimg.com/400/300/tech",03/04/2018,,on
post,gallery,people gallery 1,http://placeimg.com/640/480/nature,,"pic, nature, 640","http://placeimg.com/640/480/nature,http://placeimg.com/640/480/nature,http://placeimg.com/640/480/nature",03/05/2018,,on
post,gallery,tech gallery 2,http://placeimg.com/800/600/tech,"If you use this site regularly and would like to help keep the site on the Internet, please consider donating a small sum to help pay for the hosting and bandwidth bill","pic, tech, 800","http://placeimg.com/800/600/tech,http://placeimg.com/800/600/tech",03/06/2018,,on
post,gallery,people gallery 2,http://placeimg.com/450/900/people,,"pic, people, 450","http://placeimg.com/450/900/people,http://placeimg.com/450/900/people,http://placeimg.com/450/900/people,http://placeimg.com/450/900/people,http://placeimg.com/450/900/people,http://placeimg.com/450/900/people",03/07/2018,,on
post,gallery,"nature gallery ",http://placeimg.com/640/480/nature,"If you use this site regularly and would like to help keep the site on the Internet, please consider donating a small sum to help pay for the hosting and bandwidth bill","pic, nature, 640","http://placeimg.com/640/480/nature,http://placeimg.com/640/480/nature,http://placeimg.com/640/480/nature,http://placeimg.com/640/480/nature",03/08/2018,,on
